film_idx,title,year,9_how_realistic_did_you_find_the_dialogue_in_the_movie,1_how_many_protagonists_were_there_a_protagonist_is_the_person_or_enti,3_approximately_how_many_named_side_characters_are_in_this_movie_feel,5_if_you_checked_any_of_the_above_how_relevant_are_these_aspect_s_of_t,8a_how_likable_was_this_protagonist_by_likable_we_mean_easy_to_relate,8b_how_competent_was_this_protagonist_by_competent_we_mean_effective_a,11_how_real_did_this_protagonist_feel_to_you,12_how_emotionally_invested_were_you_in_this_protagonist,13_how_relatable_did_you_find_this_protagonist,5_in_your_opinion_how_would_you_rate_the_quality_of_the_character_writ,3_how_realistic_was_the_world_of_the_movie_by_realistic_we_mean_plausi,5_how_fantastical_was_the_world_of_the_movies_by_fantastical_we_mean_a,6_how_science_fictional_was_the_world_of_the_movie_by_science_fictiona,7_overall_how_relevant_was_world_building_to_the_movie_world_building,8_how_many_major_settings_does_the_movie_contain_here_we_re_asking_you,4_how_immersive_did_you_find_this_setting_by_immersive_we_mean_fully_r,5_in_your_opinion_how_would_you_rate_the_quality_of_the_setting_and_wo,7_on_the_whole_how_would_you_describe_the_pace_of_the_movie_pace_is_th,12a_on_a_scale_of_1_entirely_unresolved_to_7_entirely_resolved,12b_on_a_scale_of_1_very_unsurprising_predictable_to_7_very_surprising,12c_on_a_scale_of_1_very_confusing_to_7_very_easy_to_understand,19_how_convincing_did_you_find_the_plot_by_convincing_we_mean_believab,3_how_evocative_did_you_find_the_visual_style_by_evocative_we_mean_aff,4_how_interesting_did_you_find_the_visual_style_by_interesting_we_mean,7_now_let_s_talk_pun_intended_about_dialogue_in_your_opinion_how_was_t,8_how_engaging_did_you_find_the_dialogue_in_the_movie,5_to_what_extent_did_you_feel_moved_by_this_movie_on_an_emotional_basi,13_how_much_did_you_like_the_score,8c_how_proactive_was_this_protagonist_by_proactive_we_mean_motivated_a,plot_driven,character_driven,character_development,opening_hook,time_linearity,plot_linearity,ending_reversal
0,Actrius,1997.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,4.0,2,4,2.0,1,1,1.5,1
1,Army of Darkness,1992.0,3.0,1.0,10.0,1.0,4.0,4.0,4.0,5.0,4.0,5.0,1.0,6.0,2.0,4.0,3.0,5.0,6.0,4.0,6.0,4.0,5.0,2.0,6.0,6.0,4.0,5.0,3.0,5.0,5.0,5,3,4.0,4,1,1.5,2
2,The Birth of a Nation,1915.0,3.0,2.0,10.0,5.0,2.0,3.0,5.0,3.0,2.0,5.0,2.0,1.0,1.0,1.0,3.0,5.0,5.0,4.0,1.0,1.0,3.0,2.0,5.0,5.0,3.0,3.0,2.0,2.0,3.0,5,3,3.0,4,1,2.0,2
3,Blade Runner,1982.0,5.0,2.0,10.0,5.0,3.0,3.0,6.0,5.0,4.0,7.0,3.0,2.0,7.0,5.0,4.0,6.0,7.0,2.0,5.0,5.0,4.0,5.0,7.0,7.0,4.0,6.0,5.0,7.0,3.0,5,5,5.0,5,1,2.0,2
4,Blazing Saddles,1974.0,5.0,2.0,20.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,4.0,7.0,5.0,6.0,3.0,5.0,5.0,5.0,7.0,4.0,5.0,5.0,5,2,4.0,4,1,1.0,2
5,Blue Velvet (film),1986.0,5.0,2.0,20.0,5.0,2.0,3.0,5.0,4.0,3.0,7.0,3.0,1.0,1.0,2.0,3.0,6.0,7.0,3.0,7.0,6.0,3.0,3.0,7.0,7.0,4.0,6.0,5.0,7.0,4.0,5,5,5.0,5,1,2.0,3
6,Barry Lyndon,1975.0,5.0,1.0,20.0,5.0,2.0,3.0,5.0,2.0,3.0,7.0,5.0,1.0,1.0,2.0,4.0,6.0,7.0,2.0,3.0,3.0,3.0,5.0,6.0,7.0,3.0,3.0,2.0,6.0,4.0,5,5,3.0,5,1,1.0,2
7,Buffy the Vampire Slayer (film),1992.0,4.0,2.0,10.0,5.0,3.0,3.0,5.0,5.0,4.0,4.0,2.0,5.0,2.0,3.0,3.0,4.0,5.0,3.0,7.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,4,4,5.0,4,1,1.5,3
8,Braveheart,1995.0,4.0,1.0,20.0,5.0,5.0,5.0,6.0,7.0,6.0,6.0,3.0,1.0,1.0,2.0,4.0,6.0,6.0,4.0,6.0,5.0,5.0,4.0,6.0,6.0,4.0,6.0,5.0,7.0,5.0,5,4,7.0,5,1,2.0,3
9,Batman (1989 film),1989.0,5.0,2.0,10.0,5.0,4.0,5.0,5.0,6.0,5.0,6.0,2.0,3.0,3.0,4.0,3.0,6.0,6.0,4.0,7.0,3.0,5.0,5.0,6.0,6.0,4.0,6.0,3.0,7.0,5.0,5,3,5.0,5,1,1.5,3
