tv_idx,title,year,9_how_realistic_did_you_find_the_dialogue_in_the_movie,1_how_many_protagonists_were_there_a_protagonist_is_the_person_or_enti,3_approximately_how_many_named_side_characters_are_in_this_movie_feel,5_if_you_checked_any_of_the_above_how_relevant_are_these_aspect_s_of_t,8a_how_likable_was_this_protagonist_by_likable_we_mean_easy_to_relate,8b_how_competent_was_this_protagonist_by_competent_we_mean_effective_a,11_how_real_did_this_protagonist_feel_to_you,12_how_emotionally_invested_were_you_in_this_protagonist,13_how_relatable_did_you_find_this_protagonist,5_in_your_opinion_how_would_you_rate_the_quality_of_the_character_writ,3_how_realistic_was_the_world_of_the_movie_by_realistic_we_mean_plausi,5_how_fantastical_was_the_world_of_the_movies_by_fantastical_we_mean_a,6_how_science_fictional_was_the_world_of_the_movie_by_science_fictiona,7_overall_how_relevant_was_world_building_to_the_movie_world_building,8_how_many_major_settings_does_the_movie_contain_here_we_re_asking_you,4_how_immersive_did_you_find_this_setting_by_immersive_we_mean_fully_r,5_in_your_opinion_how_would_you_rate_the_quality_of_the_setting_and_wo,7_on_the_whole_how_would_you_describe_the_pace_of_the_movie_pace_is_th,12a_on_a_scale_of_1_entirely_unresolved_to_7_entirely_resolved,12b_on_a_scale_of_1_very_unsurprising_predictable_to_7_very_surprising,12c_on_a_scale_of_1_very_confusing_to_7_very_easy_to_understand,19_how_convincing_did_you_find_the_plot_by_convincing_we_mean_believab,3_how_evocative_did_you_find_the_visual_style_by_evocative_we_mean_aff,4_how_interesting_did_you_find_the_visual_style_by_interesting_we_mean,7_now_let_s_talk_pun_intended_about_dialogue_in_your_opinion_how_was_t,8_how_engaging_did_you_find_the_dialogue_in_the_movie,5_to_what_extent_did_you_feel_moved_by_this_movie_on_an_emotional_basi,13_how_much_did_you_like_the_score,8c_how_proactive_was_this_protagonist_by_proactive_we_mean_motivated_a,plot_driven,character_driven,character_development,opening_hook,time_linearity,plot_linearity,ending_reversal
0,Ally McBeal,1997.0,5,3,30,5,5,3,5,6,6,6,3,4,1,4,3,5.0,5,3,5,4,5,4,6,6,4,6,4,6,3,2,5,5,4,1,1.5,2
1,ALF Tales,2025.0,5,2,20,2,3,3,3,3,3,5,2,5,1,4,3,5.0,5,3,5,5,5,3,5,6,4,5,2,5,2,3,1,2,1,1,1.5,1
2,The Beverly Hillbillies,2025.0,4,4,10,3,5,3,5,5,5,5,3,1,1,5,2,5.0,5,3,5,3,7,3,5,5,4,6,2,5,3,5,2,3,3,1,1.5,1
3,Beavis and Butt-Head,2025.0,5,2,20,1,1,1,2,1,1,5,3,1,1,3,3,4.0,4,3,3,3,5,2,5,5,3,5,1,6,1,2,1,2,1,1,1.0,1
4,Blackadder,1983.0,5,2,20,1,3,4,5,5,4,7,5,1,1,5,4,6.0,7,4,5,5,6,3,6,5,5,7,2,6,4,3,3,2,1,1,1.0,3
5,Banacek,1972.0,5,1,5,4,4,5,5,5,3,6,5,1,1,4,3,5.0,5,3,5,3,5,5,5,5,4,6,1,5,5,5,3,1,2,1,1.0,1
6,Coronation Street,1960.0,6,6,30,5,4,3,6,5,6,7,6,1,1,5,1,5.0,5,3,1,3,3,6,5,3,5,6,5,5,3,5,5,5,5,1,2.5,1
7,Cowboy Bebop,1998.0,5,5,30,3,4,4,6,7,5,7,4,5,6,5,4,6.0,7,4,5,6,5,5,7,7,5,7,5,7,4,5,5,6,5,4,2.5,3
8,Doctor Who,1963.0,5,1,50,5,5,5,5,6,4,7,1,7,7,5,5,6.0,7,4,3,5,4,3,6,6,5,6,4,6,5,5,4,6,5,4,1.5,2
9,EastEnders,2025.0,6,6,50,5,5,3,6,5,6,6,6,1,1,5,2,6.0,6,3,1,3,5,5,5,5,4,6,4,5,1,2,5,5,5,1,1.0,2
