film,filmLabel,book,bookLabel
http://www.wikidata.org/entity/Q268905,Prince Valiant,http://www.wikidata.org/entity/Q48209,Prince Valiant
http://www.wikidata.org/entity/Q885038,Blondie,http://www.wikidata.org/entity/Q526950,Blondie
http://www.wikidata.org/entity/Q1170071,The Phantom,http://www.wikidata.org/entity/Q947755,The Phantom
http://www.wikidata.org/entity/Q1209853,Dick Tracy,http://www.wikidata.org/entity/Q1129715,Dick Tracy
http://www.wikidata.org/entity/Q1605973,Prince Valiant,http://www.wikidata.org/entity/Q48209,Prince Valiant
http://www.wikidata.org/entity/Q1607103,The Phantom,http://www.wikidata.org/entity/Q947755,The Phantom
http://www.wikidata.org/entity/Q3282436,Hammy's Boomerang Adventure,http://www.wikidata.org/entity/Q427874,Over the Hedge
http://www.wikidata.org/entity/Q3284348,Dick Tracy,http://www.wikidata.org/entity/Q1129715,Dick Tracy
http://www.wikidata.org/entity/Q3706969,Dick Tracy,http://www.wikidata.org/entity/Q1129715,Dick Tracy
http://www.wikidata.org/entity/Q3706970,Dick Tracy Returns,http://www.wikidata.org/entity/Q1129715,Dick Tracy
http://www.wikidata.org/entity/Q3706971,Dick Tracy Meets Gruesome,http://www.wikidata.org/entity/Q1129715,Dick Tracy
http://www.wikidata.org/entity/Q4927481,Blondie Goes to College,http://www.wikidata.org/entity/Q526950,Blondie
http://www.wikidata.org/entity/Q4927483,Blondie Has Servant Trouble,http://www.wikidata.org/entity/Q526950,Blondie
http://www.wikidata.org/entity/Q4927484,Blondie Meets the Boss,http://www.wikidata.org/entity/Q526950,Blondie
http://www.wikidata.org/entity/Q4927486,Blondie Plays Cupid,http://www.wikidata.org/entity/Q526950,Blondie
http://www.wikidata.org/entity/Q4927487,Blondie for Victory,http://www.wikidata.org/entity/Q526950,Blondie
http://www.wikidata.org/entity/Q4968381,Bringing Up Father,http://www.wikidata.org/entity/Q917442,Bringing Up Father
http://www.wikidata.org/entity/Q4991836,Blondie on a Budget,http://www.wikidata.org/entity/Q526950,Blondie
http://www.wikidata.org/entity/Q5273470,Dick Tracy's G-Men,http://www.wikidata.org/entity/Q1129715,Dick Tracy
http://www.wikidata.org/entity/Q5273471,Dick Tracy's Dilemma,http://www.wikidata.org/entity/Q1129715,Dick Tracy
http://www.wikidata.org/entity/Q5273475,"Dick Tracy vs. Crime, Inc.",http://www.wikidata.org/entity/Q1129715,Dick Tracy
http://www.wikidata.org/entity/Q5273476,Dick Tracy vs. Cueball,http://www.wikidata.org/entity/Q1129715,Dick Tracy
http://www.wikidata.org/entity/Q7443954,Secret Agent X-9,http://www.wikidata.org/entity/Q542565,Secret Agent X-9
http://www.wikidata.org/entity/Q7443955,Secret Agent X-9,http://www.wikidata.org/entity/Q542565,Secret Agent X-9
http://www.wikidata.org/entity/Q7705184,Terry and the Pirates,http://www.wikidata.org/entity/Q571789,Terry and the Pirates
http://www.wikidata.org/entity/Q16155210,Blondie Takes a Vacation,http://www.wikidata.org/entity/Q526950,Blondie
http://www.wikidata.org/entity/Q16155214,Blondie's Holiday,http://www.wikidata.org/entity/Q526950,Blondie
http://www.wikidata.org/entity/Q16248970,Bringing Up Father,http://www.wikidata.org/entity/Q917442,Bringing Up Father
http://www.wikidata.org/entity/Q16252035,Jiggs and Maggie in Court,http://www.wikidata.org/entity/Q917442,Bringing Up Father
http://www.wikidata.org/entity/Q16252042,Jiggs and Maggie in Jackpot Jitters,http://www.wikidata.org/entity/Q917442,Bringing Up Father
http://www.wikidata.org/entity/Q16252047,Jiggs and Maggie in Society,http://www.wikidata.org/entity/Q917442,Bringing Up Father
