id,imdb_genres
1,"Comedy,Horror"
2,"Drama,War"
3,"Action,Drama,Sci-Fi"
4,"Comedy,Western"
6,"Adventure,Drama,War"
8,"Drama,War"
11,"Action,Crime,Fantasy"
13,"Action,Adventure"
14,"Horror,Sci-Fi"
15,"Drama,Mystery"
16,"Action,Adventure,Drama"
17,"Biography,Drama,Sport"
18,"Comedy,Western"
21,"Drama,War"
22,Horror
23,"Crime,Drama,Mystery"
24,"Action,Adventure,Sci-Fi"
25,"Drama,Mystery,Thriller"
26,"Action,Crime,Thriller"
27,"Comedy,Horror"
29,"Animation,Comedy,Family"
30,"Comedy,Drama,Romance"
31,"Action,Adventure,Animation"
33,"Drama,War"
34,"Action,Adventure,Comedy"
35,"Adventure,Fantasy,Sci-Fi"
36,"Adventure,Comedy,Fantasy"
37,"Action,Sci-Fi,Thriller"
38,"Action,Adventure,Family"
39,"Action,Drama,Fantasy"
40,"Action,Adventure,Family"
41,"Action,Adventure,Drama"
44,"Action,Drama,Horror"
45,"Adventure,Comedy,Sci-Fi"
46,"Drama,Horror"
47,"Comedy,Drama,Romance"
48,"Comedy,Crime"
50,Comedy
52,"Crime,Drama,Thriller"
53,"Adventure,Comedy,Fantasy"
55,"Adventure,Animation,Comedy"
57,"Comedy,Fantasy,Music"
58,Documentary
59,"Crime,Romance"
60,"Adventure,Comedy,Crime"
62,"Fantasy,Horror"
63,"Drama,War"
65,"Adventure,Animation,Fantasy"
66,"Comedy,Horror,Musical"
67,"Biography,Drama,Sport"
69,"Action,Adventure,Mystery"
70,"Action,Adventure,Drama"
71,"Action,Adventure,Sci-Fi"
72,"Drama,War"
75,Horror
76,"Comedy,Crime"
78,"Comedy,Drama,Romance"
79,"Comedy,Drama"
80,"Crime,Drama"
82,"Action,Sci-Fi"
83,"Documentary,History"
84,"Horror,Sci-Fi"
85,"Horror,Thriller"
86,"Action,Adventure,Sci-Fi"
87,"Drama,Romance,Western"
89,"Mystery,Sci-Fi,Thriller"
90,"Crime,Drama,Romance"
91,"Drama,Mystery,Thriller"
92,Drama
95,"Comedy,Romance"
96,"Adventure,Comedy,Family"
98,"Drama,Sci-Fi,Thriller"
99,"Biography,Drama"
100,"Action,Drama"
101,"Action,Adventure,Drama"
102,"Adventure,Drama,Western"
103,"Action,Drama,Sci-Fi"
106,"Drama,Fantasy,Romance"
108,"Comedy,Drama,Romance"
110,"Action,Drama,Sci-Fi"
111,"Drama,War"
113,"Documentary,Music"
115,"Action,Crime,Drama"
116,"Drama,Romance"
117,Drama
118,"Drama,Romance"
121,Drama
122,"Drama,Romance,War"
125,"Comedy,Musical,Romance"
126,"Drama,Romance,War"
127,"Drama,Film-Noir"
128,"Horror,Mystery,Thriller"
129,"Crime,Drama,Thriller"
130,"Comedy,Drama,Music"
131,"Crime,Drama"
132,"Adventure,Drama,War"
133,"Adventure,Documentary,Drama"
134,"Drama,Sci-Fi,Thriller"
135,"Adventure,Comedy,Sci-Fi"
136,"Drama,History,Thriller"
139,"Comedy,Drama,Romance"
141,"Biography,Drama"
143,"Drama,History"
144,"Comedy,Romance"
146,"Drama,Musical"
148,"Adventure,Drama,Romance"
149,"Comedy,Romance"
150,"Drama,Western"
152,"Biography,Drama,History"
155,"Crime,Mystery,Sci-Fi"
157,"Adventure,Drama,Mystery"
159,"Drama,Sport"
161,Comedy
162,"Drama,Thriller"
164,"Action,Adventure,Fantasy"
167,"Action,Adventure,Fantasy"
168,"Action,Adventure,Fantasy"
169,"Drama,Romance"
170,Adventure
176,"Drama,Horror,Mystery"
177,"Adventure,Animation,Comedy"
179,"Fantasy,Mystery,Romance"
180,"Drama,Romance"
181,Adventure
182,"Crime,Drama"
183,"Drama,Music"
184,"Comedy,Romance"
185,"Adventure,Sci-Fi"
187,"Action,Adventure,Fantasy"
188,"Crime,Drama,Thriller"
192,"Drama,Mystery,Sci-Fi"
193,"Action,Drama,History"
197,"Comedy,Drama,History"
199,"Drama,Family,Fantasy"
202,"Comedy,Musical,Romance"
203,"Comedy,Drama,Romance"
211,"Crime,Drama"
212,"Comedy,Musical,Romance"
214,"Comedy,Musical,Romance"
215,"Crime,Drama,Film-Noir"
216,"Comedy,Drama"
217,"Biography,Drama,History"
218,"Animation,Comedy,Family"
221,"Comedy,Musical,Romance"
222,"Comedy,Drama,Romance"
223,"Biography,Drama,History"
224,"Comedy,Music,Romance"
226,"Biography,Drama,Western"
227,Drama
228,"Drama,Musical,Romance"
233,"Drama,Romance"
234,"Comedy,Musical,Romance"
235,"Comedy,Musical,Romance"
242,"Comedy,Mystery,Romance"
243,"Comedy,Musical,Romance"
244,"Adventure,Drama,Romance"
245,"Comedy,Romance"
246,"Comedy,Drama,Romance"
247,"Biography,Drama,History"
249,"Comedy,Musical,Romance"
250,"Comedy,Romance"
252,"Action,Drama,Musical"
254,"Comedy,Drama,Music"
255,"Comedy,Drama,Romance"
256,"Comedy,Drama,Romance"
258,"Action,Adventure,Romance"
262,"Drama,Romance"
264,"Comedy,Drama"
265,"Comedy,Romance"
269,"Comedy,Crime,Drama"
272,"Drama,Romance"
274,"Comedy,Drama,War"
275,"Drama,War"
277,"Crime,Drama,Film-Noir"
280,"Biography,Crime,Drama"
281,Drama
283,"Action,Adventure,Drama"
284,"Biography,Drama,History"
287,"Adventure,Drama,Family"
288,"Drama,Mystery,Thriller"
289,"Comedy,Romance"
292,"Action,Crime,Drama"
293,"Action,Crime,Drama"
294,"Action,Thriller"
295,"Action,Crime,Drama"
296,"Action,Adventure,Thriller"
297,"Action,Adventure,Thriller"
298,"Action,Adventure,Thriller"
299,"Action,Comedy,Crime"
301,"Action,Adventure,Drama"
303,"Action,Crime,Thriller"
304,"Action,Crime,Thriller"
308,"Adventure,Drama,Romance"
309,"Comedy,Family,Fantasy"
310,"Comedy,Romance"
311,Comedy
313,"Crime,Drama,Film-Noir"
314,"Drama,Romance"
315,"Adventure,Drama"
316,"Comedy,Drama"
317,"Drama,Fantasy,Music"
319,"Drama,Music,Musical"
321,"Action,Comedy,Thriller"
323,"Adventure,Sci-Fi"
326,"Adventure,Animation,Family"
327,"Comedy,Drama,Romance"
328,"Drama,Romance"
329,"Comedy,Drama"
331,"Drama,Film-Noir,Mystery"
332,"Horror,Thriller"
333,"Horror,Sci-Fi"
336,"Comedy,Musical,Romance"
337,"Drama,Romance,War"
338,"Action,Adventure"
339,"Drama,Horror,Sci-Fi"
340,Comedy
341,"Drama,Romance"
342,"Drama,Mystery"
344,"Comedy,Drama,Romance"
345,"Adventure,Comedy,Drama"
348,"Adventure,Drama,Mystery"
350,"Crime,Drama"
351,"Comedy,Drama"
352,"Drama,Sci-Fi"
354,"Drama,War"
356,"Comedy,Drama"
357,"Crime,Drama,Film-Noir"
359,"Crime,Drama,Film-Noir"
361,"Comedy,Musical"
362,"Adventure,Family,Sci-Fi"
363,"Adventure,Drama"
366,Drama
367,"Comedy,Musical,Romance"
368,"Crime,Drama,Film-Noir"
375,"Adventure,Comedy,Drama"
378,"Crime,Drama,Film-Noir"
379,"Drama,Romance"
380,"Drama,Romance,Western"
381,"Drama,Thriller,Western"
382,"Comedy,Drama,Romance"
383,"Crime,Drama,Film-Noir"
384,"Adventure,Comedy,Drama"
387,"Comedy,Drama,Mystery"
390,"Drama,Horror,Sci-Fi"
393,"Drama,Mystery,Thriller"
396,Drama
397,"Biography,Drama,Family"
398,"Comedy,Romance"
400,"Adventure,Drama,Family"
402,"Drama,Romance"
404,Drama
408,"Adventure,Drama"
409,"Comedy,Romance"
410,"Comedy,Musical,Romance"
413,"Comedy,Drama,Family"
415,"Comedy,Romance,War"
419,"Drama,Romance,Western"
420,"Comedy,Drama,Romance"
422,"Adventure,Comedy,Sci-Fi"
423,"Drama,Thriller,Western"
428,"Drama,Romance"
429,"Crime,Drama,Film-Noir"
430,"Drama,Western"
431,"Drama,Western"
434,"Drama,Romance"
437,"Comedy,Drama,Family"
438,"Adventure,Animation,Comedy"
442,"Crime,Drama"
444,Drama
448,"Drama,Western"
450,"Adventure,Comedy,Family"
451,"Comedy,Drama,Romance"
452,"Action,Comedy,Romance"
457,"Adventure,Western"
458,"Drama,Film-Noir,Mystery"
461,"Action,Comedy,Romance"
462,"Drama,Mystery,Thriller"
464,"Comedy,Drama,Romance"
468,"Comedy,Music,Romance"
470,"Drama,Film-Noir"
471,"Adventure,Drama,Romance"
472,Western
476,"Horror,Sci-Fi"
478,"Comedy,Drama,Romance"
482,"Drama,War"
484,"Action,Adventure,Animation"
487,Drama
488,"Animation,Comedy,Family"
489,"Action,Adventure,Drama"
490,"Comedy,Romance"
492,"Drama,Romance"
493,"Comedy,Drama,Romance"
494,"Drama,Romance"
495,"Biography,Drama,Family"
496,"Crime,Drama,Mystery"
497,"Drama,Mystery,Romance"
498,"Biography,Drama,Romance"
499,"Comedy,Fantasy,Romance"
500,"Drama,Romance"
501,"Biography,Drama,Romance"
503,Drama
505,"Biography,Drama,Romance"
510,"Drama,War"
512,"Comedy,Romance"
514,"Drama,Thriller"
515,"Drama,Romance,War"
519,"Drama,History,Thriller"
520,"Drama,Romance"
522,Drama
523,"Comedy,Romance"
528,"Comedy,Drama,Fantasy"
529,"Comedy,Drama,Family"
532,"Drama,Mystery"
534,"Comedy,Drama,Romance"
537,"Action,Adventure"
539,"Fantasy,Horror"
540,"Documentary,Sport"
542,"Drama,War"
546,"Comedy,Drama,History"
547,Comedy
548,"Adventure,Comedy,Sci-Fi"
549,"Adventure,Animation,Drama"
550,"Action,Crime,Drama"
553,"Comedy,Drama,Fantasy"
554,"Action,Crime,Drama"
556,"Adventure,Comedy,Family"
558,"Action,Adventure,History"
561,Comedy
562,"Action,Drama,Family"
568,"Drama,Romance"
569,"Crime,Drama"
571,"Crime,Drama"
572,"Drama,Mystery"
577,"Drama,History,War"
578,"Comedy,Drama"
579,"Drama,Romance"
580,Drama
581,"Adventure,Animation,Comedy"
582,Comedy
583,"Drama,History,War"
585,"Action,Thriller"
590,"Comedy,Drama,Romance"
594,"Comedy,War"
598,"Drama,Romance"
600,"Adventure,Biography,Crime"
607,"Biography,Drama,History"
608,"Comedy,Music"
609,"Adventure,Comedy,Romance"
610,Music
611,"Action,Adventure,Comedy"
612,"Crime,Drama,Thriller"
616,Comedy
617,Drama
618,"Documentary,Music"
619,"Comedy,Drama,Fantasy"
620,"Adventure,Drama,Thriller"
623,"Action,Drama,Thriller"
624,"Biography,Crime,Drama"
627,"Comedy,Drama,Romance"
629,"Biography,Drama,History"
630,"Comedy,Drama,Music"
631,Drama
635,"Comedy,Drama,Romance"
636,Drama
637,"Comedy,Drama,Sport"
638,Drama
639,"Comedy,Crime,Mystery"
641,"Drama,Sci-Fi,War"
643,"Drama,Sport"
645,"Comedy,Fantasy,Horror"
647,"Comedy,Horror,Sci-Fi"
648,"Comedy,Romance"
650,"Comedy,Romance"
651,"Comedy,Fantasy,Horror"
653,"Comedy,Fantasy,Romance"
655,Drama
660,Drama
661,"Biography,Drama"
662,"Comedy,Drama"
665,"Drama,Music"
666,Drama
667,"Crime,Drama,Mystery"
669,"Comedy,Crime,Drama"
672,"Comedy,Drama"
674,"Adventure,Drama,Western"
676,"Action,Sci-Fi"
679,"Biography,Drama,History"
681,"Drama,Thriller"
683,"Comedy,Drama,Romance"
684,Drama
685,"Crime,Drama,Mystery"
686,"Comedy,Drama,Romance"
687,"Comedy,Drama"
688,"Comedy,Drama"
689,"Drama,Family,Fantasy"
690,"Biography,Drama"
691,"Adventure,Drama,Western"
692,"Biography,Drama"
694,"Crime,Drama"
696,"Biography,Crime,Drama"
697,"Drama,Romance"
698,"Drama,Western"
701,"Biography,Crime,Drama"
703,"Drama,Music,Romance"
705,"Adventure,Drama,Sci-Fi"
706,"Adult,Comedy"
707,"Adventure,Comedy,Sci-Fi"
715,"Comedy,Drama,Romance"
717,"Comedy,Drama,Romance"
718,"Comedy,Drama"
719,"Drama,Romance"
722,"Comedy,Drama,Romance"
725,"Comedy,Drama,Mystery"
726,"Drama,Musical,Romance"
733,"Comedy,Music,Romance"
736,"Musical,Romance"
739,"Adventure,Comedy,Family"
740,"Biography,Drama,History"
741,"Action,Adventure,Sci-Fi"
742,"Comedy,Romance"
745,"Adventure,Family,Sci-Fi"
748,"Comedy,Drama,Family"
749,"Comedy,Crime,Mystery"
750,"Comedy,Crime,Mystery"
751,"Crime,Drama,Romance"
753,"Comedy,Drama,Romance"
754,"Drama,Mystery"
755,"Comedy,Crime,Musical"
756,"Comedy,Crime,Film-Noir"
757,"Comedy,Drama,History"
758,"Action,Adventure,Fantasy"
759,"Drama,Musical,Romance"
761,"Crime,Drama,Film-Noir"
763,"Drama,Romance"
766,"Drama,Horror,Sci-Fi"
768,"Drama,Sci-Fi"
769,"Adventure,Family,Fantasy"
770,"Crime,Drama,Film-Noir"
773,"Adventure,Animation,Family"
775,"Comedy,Music"
776,"Drama,Sport"
777,"Comedy,Music,Romance"
778,"Biography,Drama,Music"
779,"Biography,Drama,Music"
782,"Adventure,Fantasy,Sci-Fi"
783,"Action,Adventure,Comedy"
784,"Adventure,Comedy"
785,"Adventure,Comedy,Romance"
787,"Action,Adventure,Sci-Fi"
788,"Drama,Sport"
790,"Action,Thriller,War"
791,"Drama,Sport"
794,"Drama,War"
795,"Action,Drama,Romance"
801,"Adventure,Animation,Comedy"
804,"Crime,Drama"
807,"Drama,Romance,War"
808,"Biography,Drama,History"
809,"Drama,Romance"
810,"Comedy,Crime"
811,"Comedy,Drama,War"
812,"Action,Adventure,Thriller"
813,"Comedy,Romance"
814,"Action,Adventure,Sci-Fi"
815,"Adventure,Comedy,Fantasy"
816,"Drama,Mystery,Romance"
817,"Action,Adventure,Sci-Fi"
819,"Action,Adventure,Biography"
820,"Comedy,Crime"
821,"Comedy,Drama,Romance"
823,"Action,Crime,Drama"
824,"Action,Comedy,Crime"
826,"Action,Adventure,Sci-Fi"
829,"Crime,Drama,Romance"
830,"Crime,Drama,Mystery"
832,Drama
834,Drama
837,"Comedy,Drama,Romance"
838,"Drama,Sport"
840,"Comedy,Western"
841,"Crime,Drama"
844,Drama
845,"Comedy,Drama"
847,"Action,Comedy,Horror"
849,"Comedy,Documentary"
854,Drama
855,"Drama,Romance"
