,Dark,Bleak,Tragic,Gritty,Tense,Melancholic,Chilling,Eerie,Sad,Bittersweet,Mysterious,Raw,Reflective,Dreamy,Surreal,Epic,Adventurous,Romantic,Whimsical,Quirky,Energetic,Cozy,Optimistic,Inspirational,Hopeful,Heartwarming,Lighthearted,Funny,Chaotic,Challenging,Wistful
Horror,1.4491655182906933,1.4005501467057255,1.1990248048293843,1.093378938088364,1.1852008208805418,0.9735515831365794,1.482853538007852,2.1142215073952357,1.140822910184316,-0.6105232447475291,1.5589608407552835,1.4525851065756927,-1.0861062969594575,-1.1470641982200858,1.6478531104600895,-0.8138876326581783,-1.0145700926322523,-1.1270249743129084,-1.0321916097965298,-0.7025249947203664,-1.7442703190604463,-1.282805252661341,-1.917021250250735,-2.4831928989344125,-2.257528037439342,-1.6923961898969426,-1.2586717403618202,-0.9618391908055859,1.366237128724386,1.0374256056938425,-1.3264755440977392
Thriller,1.102770165710079,1.0605080635531337,0.9727054104184483,1.0701271954809561,1.1283977495609807,0.7846430218630118,1.1549734578195556,1.0581368183334805,0.8879244953813838,0.3010816390873536,0.9956825501170188,1.0745051240681551,-0.17042330127597832,-1.0537827867581775,0.19203830892553128,0.006954579471188666,-0.3054586181810956,-0.6616558302108094,-0.9662182318318822,-0.8213623150767179,-0.8166418082490959,-1.0378786233483255,-1.1305998469855134,-1.15127331309953,-1.1476777825802993,-1.120750304158876,-0.9907055127504335,-0.8476420492030317,0.9169189134759135,1.0148132139234887,-0.4167155899074366
War,0.9878617388761918,1.0061177667162569,1.0796155389934077,1.0493604922906679,1.111588418175452,0.8992522023973469,0.9702288091280321,0.33988112414431987,1.0675159577831697,0.9013912525256976,0.36775509004116336,0.9350294777955667,0.4349281019024673,-0.947476226543968,-0.565317498069992,1.6259835935507716,0.6124037669501832,-0.5502898831306088,-1.003368138383721,-1.2976048847675488,-0.2696150193696715,-0.9692148905258314,-0.5727123873753979,0.24086788967937992,-0.3274148944767003,-0.6652828174715667,-1.0161200607350425,-1.055492383550197,0.2969395016256655,1.1988138626937437,0.4050476505498057
Mystery,1.0368605896031833,0.9898594868686696,0.9492376594564857,0.8926097389968023,0.9963859722110613,0.8975960706973687,1.0970001158129639,1.3208762121083386,0.8964790215264588,0.5588375995189433,1.386451134536911,0.9687949123926093,0.2951594791560931,-0.7982042236264371,0.6445608601850834,-0.2767601288770971,-0.49675165811792343,-0.6207878533757089,-0.8150295661839053,-0.6054918164639463,-0.9946199414299186,-0.887918574577938,-1.1349377511644525,-1.3022595956197658,-1.1890906295583554,-1.1008080807694658,-0.8892855549554518,-0.7579623641116088,0.8709008459518426,0.8669950557595293,-0.1421939715500931
Crime,0.8121326236725823,0.7938405447266644,0.7406225991256099,0.9113835767426997,0.8796375945717702,0.5873622507161422,0.7491108577388131,0.5278616289939739,0.70693297507782,0.19228422685054197,0.5261478155970397,0.8152569822418267,-0.26267535663313824,-1.127465235243219,-0.2986325218699389,-0.31404624505283213,-0.4608100314676623,-0.5205998782241889,-0.7928127244175598,-0.7069043616171548,-0.6468915532329135,-0.8716397528476949,-0.9061930505524539,-0.9834108513623477,-0.9480080187010893,-0.9234807850864626,-0.7485191876925624,-0.5641123070186803,0.7466300038601429,0.7924982314963958,-0.43320039880607497
Historical,0.46606724167971414,0.6055868574840828,0.8694876387354962,0.6249363599558122,0.39151338515967604,1.1642037009807076,0.27715437610345484,-0.15555176510101865,0.9905367928093431,1.5682274910224334,-0.23316976487561467,0.6408309323386442,1.4782310268377628,-0.26754318974066943,-0.8218235424334605,0.19298417837472517,-0.6406655206963391,-0.19629237832968716,-0.7960911117268773,-1.0472537896307974,-0.8637611898061234,-0.34335804043172363,-0.2197313460978742,0.6095867721917239,-0.0228828761093035,-0.05944923951535226,-0.7082486623370482,-0.9374254623967844,-1.0496857436410136,0.6639798103714554,1.6208023657914519
Action,0.4446768195108045,0.30201993414434586,0.13530020139098903,0.607190795489929,0.747612254503752,-0.3952656076157744,0.49595794723275394,0.2401133205468401,-0.16089061570224017,-1.0098708145147264,0.43168981862041844,0.33679821838410684,-1.4828854409056857,-0.9775850550627937,-0.23428820203924908,1.059438392624333,0.9503447631252231,-0.519571924177859,-0.45093976735998637,-0.424912125213476,0.4660400099790237,-0.7538519204201987,-0.39579502108859355,-0.605843104604569,-0.41664725360167887,-0.6622082249073955,-0.392289132737479,-0.2397655274398166,1.0130239597714177,0.5901635259574965,-1.590358160583585
Drama,0.07859372726399538,0.23175383493549617,0.36121225350159214,0.13150099576878596,-0.005003147877170688,0.736666060864923,-0.07892900551453802,-0.2556150971045673,0.6179692435985308,1.2550706846388293,-0.3835025005128731,0.258381958299142,1.3095133725027086,0.026207124171657062,-0.58101841981254,-0.8558166660709066,-0.9853390046701067,0.343131722046726,-0.36438732997789197,-0.3391212638586933,-0.5694539377993619,0.11211319637384895,-0.049741544243865204,0.1750289024809004,0.019554018565447445,0.16127741445423296,-0.1902830795486301,-0.3182063160422039,-0.7013749238010687,0.16849284646077725,1.1491719529575912
Documentary,0.010812803840811864,0.21640930481639153,0.3607517523962755,0.3392311112262116,-0.3560577268425245,0.8442526244609614,-0.18897135597920017,-0.6534825585191988,0.5616260938752143,1.2460764540326883,-1.1197152408110929,0.5020343527428507,1.7637146557361651,-0.5205285607053846,-1.2668367380796297,-0.9392027601349745,-1.5443754360555304,-0.9485864328250815,-0.9052224029980969,-1.0803343135181094,-1.0486648550504687,-0.3386891399558208,0.07339240099025791,0.9149195594136758,0.21692555489277793,0.1080003068582181,-0.6404506051987844,-1.0603192478205707,-2.1542416838275043,0.2702337046552218,1.4943158463859256
Western,0.7504828245613206,0.8231844265533184,0.8499794714683336,0.9466729521424143,0.6898691618727005,0.837690852106002,0.776324427793214,0.458631356537896,0.742813874691324,0.6998068276250202,0.5821237537480107,0.6907486373540953,0.19317850308171838,-0.8843296831331139,-0.491681336607548,1.0878247010052708,1.3785845076453407,-0.6513019135493614,-0.7410434486358942,-0.8580048152709101,-0.7424196076400823,-0.7357014082660465,-0.9111373946315621,-0.38834561379398636,-0.7301186127565065,-0.8906841707578103,-0.7863670694175396,-0.6092463827228483,0.296998550745076,0.6412833032138558,0.7226853543983633
Science_Fiction,0.16603133295346387,0.051187819437262104,-0.1328350708903006,-0.11020342876923171,0.23689035665785865,-0.3229085703558548,0.2882688507929691,0.7470204177078773,-0.29943230107838054,-0.8348143869054074,0.8914166033796471,-0.15597367454016325,-0.7768424145294816,0.5397130412518906,1.8438361675114276,0.9860324599548541,1.0678039317937686,-0.37414812565382216,0.39559710481152144,0.7416011319076005,0.4107923983184583,-0.3252640701989336,-0.02483305290178229,-0.11329867642023289,0.05082387785854542,-0.25441743564472297,0.025477081179438515,0.20614380007255984,0.9014268615819166,0.16508442061729148,-0.6691189625362731
Adventure,-0.3281099807611482,-0.4583760287746775,-0.5838652416459297,-0.1658699371626844,-0.023829316049582695,-0.9303826631544871,-0.23204676169692479,-0.2780320004446758,-0.8567964246095703,-1.0399608036883556,0.05919628205787646,-0.44300610526390766,-1.0026640413425243,0.15497769517589446,0.06757216822792049,1.1690249709956224,1.7313697156243473,-0.16623408696339634,0.38356069672963944,0.37037921267733004,1.1110471658148837,0.0903132229767379,0.5425110702225574,0.43377034190546127,0.6026403804602763,0.2735264401793,0.37735407718245734,0.341578386495417,0.45971408868221597,-0.10471298274855997,-0.9010544821273428
Fantasy,-0.26502923501285947,-0.4575929490853301,-0.5474185041071267,-0.611737806595975,-0.3135254676979025,-0.7297980174973004,-0.12014927842268958,0.46087949839016484,-0.7200624200294116,-0.9833867722294937,0.7074109997125545,-0.5571463810201568,-0.755573826637419,1.1108941640949384,1.8662494879467335,0.7780889398051436,0.9008087914868248,-0.15982934242189417,0.9807295099709337,1.1689544477545668,0.6405515580103955,0.30148439028375723,0.4086083371373539,0.10967541981016514,0.3696842545742085,0.2683974658077411,0.5492393373898907,0.6043279870416046,0.7223389090573358,-0.4206132770977493,-0.5791736054934568
Romance,-0.9094545322211749,-0.7444627787054561,-0.5562243027651075,-0.9997926963013697,-0.9634987935601077,-0.10881216943363238,-1.0221736812629723,-1.1268942990149844,-0.2254316310577963,0.7336041923057484,-1.1556829049338715,-0.738587659871506,0.8758446813790279,1.1247561358204852,-0.9144163780497097,-1.411376523193784,-1.0996116565084977,2.793337120973367,0.44050272324482337,0.43451216249066943,0.13132473834982564,1.1394107882214353,0.8274809636791508,0.7081322812306751,0.8521322971643307,1.0907540501480648,0.7588789788253606,0.5293475646916621,-1.1243466219494365,-1.017755250941203,1.101501421687967
Family,-1.0101901827346573,-0.8832325255969867,-0.6821217181098794,-0.9509904855353113,-0.9435617181537339,-0.3874582299252339,-1.047718351187856,-1.1552480388486697,-0.41549257455424526,0.2649183758605819,-1.2544885268138966,-0.8895335513523659,0.8045589081672054,0.8148646488561133,-0.9544073822864558,-0.9302329384416745,-0.6969705019224497,0.8086024529422037,0.6270320571482692,0.46349808119379815,0.405487214409306,1.3533214475678337,1.1361889653588426,1.1267064921024885,1.1813852629527375,1.4876734394559168,0.9063369243748918,0.5963388280360865,-1.2167033460490082,-0.8775557838990671,0.8064606644043043
Musical,-1.6741328382658915,-1.614823738288514,-1.4082811978625192,-1.6791315262136277,-1.7034886889397225,-1.1360304998484034,-1.6540184632717891,-1.480175445603241,-1.1941563827659338,-0.14287502973802152,-1.4838239626332816,-1.5446819994067655,0.5127888789379463,1.8110153508630071,-0.5995029404510268,-0.6210232186356639,-0.20233712960044242,1.7542836699834796,1.5302470482236994,1.2600110987449848,1.510819682730632,1.8757859116498068,1.5701106736745916,1.3295370254197985,1.4498021087505817,1.6749624872857716,1.6307492906833323,1.2778866384152148,-1.031713676424749,-1.7871037256036786,0.5233557398638924
Animation,-1.1915632197745691,-1.3682857436841627,-1.402604910420237,-1.4183633292419373,-1.0529691159994474,-1.5794049348126922,-1.0161187924780073,-0.5786469113960707,-1.53543534962149,-1.3272522324865526,-0.19885650634741045,-1.4655105003381304,-0.8756676898667817,1.634454061481952,1.071612696826951,0.8723763703909784,1.2582031417342197,-0.12004482601001557,1.8251290924943802,1.6560865937243607,1.638573515608145,1.277970381050906,1.4106268526694972,1.0941625992574882,1.3047204306621156,1.2602011418391057,1.4211850761885607,1.2590071525687938,0.10420573957141388,-1.1352691772171046,-0.5889030974362831
Comedy,-1.9269753971925396,-1.9542444218062336,-2.2045863845149345,-1.7303029463625221,-2.0051617384735922,-2.1351576745796423,-1.9317466906156286,-1.5839757681256994,-2.2049236655085065,-1.7726154591577628,-1.677595481637869,-1.8805258303996852,-1.2550792395506076,0.5070969373179154,-0.6057978403841844,-1.6163620731077737,-0.4526289685076134,0.9170124832395649,1.6845060986890834,1.788471951644424,1.3817019484174198,1.3959223351095231,1.2937833815599689,0.28523677034308453,0.991699919342261,1.0446845021802456,1.9517198399108573,2.537380873789989,-0.417268507354534,-2.0667733833357382,-1.1761471835009787
