,film,film,book,book,tv,tv
,mean,count,mean,count,mean,count
bin,,,,,,
1930,45.23652817770465,2431,63.68421052631579,437,,
1935,40.83917309039944,2854,64.19917864476386,487,,
1940,43.40044742729307,2682,59.698660714285715,448,,
1945,49.42547876769359,2402,60.69502074688797,482,,
1950,50.07275132275132,3024,61.87694704049844,642,27.77777777777778,63.0
1955,53.820093457943926,2996,61.25722543352601,692,31.476510067114095,149.0
1960,56.543298598634564,2783,63.32802547770701,628,36.333333333333336,150.0
1965,57.3497997329773,2996,66.23076923076923,715,33.93023255813954,215.0
1970,63.74920331421288,3138,65.63427800269906,741,42.26470588235294,340.0
1975,60.42190602250165,3022,65.44611819235226,863,41.01136363636363,440.0
1980,60.19969278033794,3255,66.4463601532567,1044,39.94802494802495,481.0
1985,59.78655544651619,4076,65.71621621621621,1110,44.98272884283247,579.0
1990,59.657400633991706,4101,67.01095461658842,1278,45.36605657237937,601.0
1995,57.620666959192626,4558,66.72185430463576,1510,47.076215505913275,761.0
2000,56.97614552943195,5827,66.20997375328083,1905,46.175824175824175,910.0
2005,58.60983102918587,8463,65.78372591006423,2335,44.88743645606391,1377.0
2010,57.392175471897076,9483,67.4268149882904,1708,43.88520109332292,2561.0
2015,57.8993490235353,9985,68.29536527886881,1273,47.249360068259385,4688.0
2020,58.93366093366093,8140,67.08333333333333,912,48.03822629969419,6540.0
2025,59.754259501965926,1526,72.5,132,50.3322528363047,12340.0
