attribute,pair,lag_yrs,peak_r,perm_p,leader
sci-fi,book-film,5,-0.287,0.0,book
fantastical,film-tv,0,0.485,0.0,tv
fantastical,book-tv,1,0.369,0.0,book
feels-real,book-tv,1,0.352,0.0,book
sci-fi,book-tv,-6,-0.375,0.0,tv
competence,book-tv,4,-0.391,0.0,book
#settings,film-tv,5,-0.355,0.0,film
plot-vs-character,book-tv,1,0.431,0.0,book
proactiveness,book-film,2,-0.318,0.0,book
realistic-world,book-film,3,0.28,0.0,book
surprise,book-tv,5,0.378,0.0,book
clarity,book-film,-1,0.353,0.0,film
plot-convincing,book-film,3,0.255,0.0,book
#protagonists,book-tv,3,-0.473,0.0,book
dialogue-engaging,book-tv,0,0.391,0.0,tv
visual-interest,book-film,3,-0.282,0.0,book
character_driven,book-film,2,0.325,0.0,book
moved-emotionally,book-film,-2,0.347,0.0,film
plot-vs-character,film-tv,-1,0.325,0.002,tv
world-building,book-film,6,0.339,0.002,book
feels-real,film-tv,4,-0.36,0.002,film
7_now_let_s_talk,book-film,-6,0.456,0.002,film
dialogue-engaging,film-tv,2,0.411,0.002,film
immersive,book-tv,5,0.396,0.002,book
moved-emotionally,film-tv,4,-0.352,0.005,film
realistic-world,book-tv,1,0.349,0.005,book
character_driven,book-tv,-4,-0.344,0.005,tv
plot-vs-character,book-film,-4,0.293,0.005,film
competence,film-tv,3,-0.351,0.005,film
#side-chars,book-film,-3,0.277,0.005,film
dialogue-realism,book-tv,-4,-0.337,0.008,tv
#protagonists,book-film,2,0.244,0.008,book
relatability,book-film,3,0.29,0.008,book
setting-quality,book-tv,1,-0.34,0.01,book
character_driven,film-tv,6,-0.331,0.01,film
#side-chars,book-tv,-6,0.317,0.01,tv
proactiveness,book-tv,3,-0.34,0.01,book
score,film-tv,-4,0.333,0.01,tv
relatability,book-tv,-4,-0.306,0.01,tv
clarity,film-tv,2,0.303,0.012,film
realistic-world,film-tv,1,0.3,0.012,film
competence,book-film,6,-0.261,0.012,book
identity-relevance,book-film,-3,0.264,0.012,film
visual-evocative,film-tv,-4,0.325,0.012,tv
score,book-film,2,0.237,0.012,book
feels-real,book-film,-2,0.227,0.012,film
emot-investment,film-tv,4,-0.307,0.015,film
visual-evocative,book-film,3,-0.251,0.015,book
moved-emotionally,book-tv,-6,-0.28,0.015,tv
emot-investment,book-film,-2,0.26,0.015,film
surprise,book-film,-3,0.233,0.018,film
character-quality,book-film,3,0.245,0.02,book
identity-relevance,book-tv,-1,0.325,0.02,tv
sci-fi,film-tv,1,0.284,0.02,film
likability,book-film,-2,0.243,0.022,film
resolution,film-tv,-4,-0.291,0.022,tv
character-quality,film-tv,5,-0.3,0.022,film
#settings,book-tv,5,-0.296,0.022,book
plot-convincing,book-tv,5,0.297,0.022,book
world-building,book-tv,0,0.259,0.022,tv
visual-interest,book-tv,4,0.267,0.025,book
relatability,film-tv,-4,0.292,0.025,tv
#protagonists,film-tv,0,-0.282,0.025,tv
clarity,book-tv,-4,0.25,0.025,tv
character-quality,book-tv,4,-0.279,0.028,book
setting-quality,film-tv,-2,0.265,0.028,tv
proactiveness,film-tv,3,-0.266,0.032,film
fantastical,book-film,2,0.198,0.032,book
visual-evocative,book-tv,3,-0.292,0.032,book
identity-relevance,film-tv,5,-0.265,0.035,film
#side-chars,film-tv,-5,0.25,0.038,tv
surprise,film-tv,1,0.243,0.045,film
immersive,book-film,5,0.206,0.045,book
dialogue-engaging,book-film,0,0.185,0.045,film
dialogue-realism,book-film,-6,-0.194,0.048,film
7_now_let_s_talk,film-tv,-1,0.246,0.05,tv
resolution,book-tv,-4,0.234,0.05,tv
world-building,film-tv,-2,0.254,0.05,tv
visual-interest,film-tv,6,0.241,0.052,film
likability,book-tv,-5,-0.23,0.058,tv
#settings,book-film,0,-0.193,0.06,film
7_now_let_s_talk,book-tv,-5,-0.231,0.062,tv
plot-convincing,film-tv,6,-0.205,0.095,film
pace,film-tv,5,-0.2,0.105,film
dialogue-realism,film-tv,-5,0.191,0.11,tv
pace,book-tv,2,0.213,0.11,book
likability,film-tv,-4,0.21,0.11,tv
emot-investment,book-tv,-4,-0.205,0.12,tv
immersive,film-tv,-5,-0.163,0.17,tv
resolution,book-film,6,-0.14,0.185,book
score,book-tv,-4,0.16,0.198,tv
setting-quality,book-film,3,-0.126,0.23,book
pace,book-film,-6,0.098,0.35,film
